symbol,price,price_date,name,type
1098920,21.72,2026-07-23,ריט 1,מנית ריט
1099456,1.0531,2026-07-23,ממשל שקלית 1026,"אג""ח ממשלתי שחר"
1099654,24.36,2026-07-23,אלוט,מניה רגילה
1099761,0.281,2026-07-23,פטרוטקס יהש,יחידת השתתפות
1099787,4.351,2026-07-23,ג'ין טכנולוגיות,מניה רגילה
1100007,860,2026-07-23,פז אנרגיה,מניה רגילה
1100718,49.9,2026-07-23,בריינסוויי,מניה רגילה
1100957,0.9,2026-07-23,אבגול,מניה רגילה
1101450,0.301,2026-07-23,אולמד סולושנס,מניה רגילה
1101518,0.015,2026-07-23,ביוליין,מניה רגילה
1101534,33.58,2026-07-23,סלקום,מניה רגילה
1101666,4.321,2026-07-23,אברא,מניה רגילה
1102128,140.5,2026-07-23,פרשקובסקי,מניה רגילה
1102219,69.44,2026-07-23,פרידנזון,מניה רגילה
1102532,3.006,2026-07-23,צילו-בלו,מניה רגילה
1103506,22.08,2026-07-23,אוריין,מניה רגילה
1103571,18.14,2026-07-23,שנפ,מניה רגילה
1103852,0.976,2026-07-23,ישראל קנדה מלונ,מניה רגילה
1103878,1.596,2026-07-23,רבל,מניה רגילה
1104249,348.6,2026-07-23,רמי לוי,מניה רגילה
1104280,0.271,2026-07-23,כלל ביוטכנו,מניה רגילה
1104363,42.08,2026-07-23,ברק בית השקעות,מניה רגילה
1104488,506,2026-07-23,מגה אור,מניה רגילה
1104496,1.956,2026-07-23,אורד,מניה רגילה
1104744,109.7,2026-07-23,גאון אחזקות,מניה רגילה
1104785,5.837,2026-07-23,חממה סחר,מניה רגילה
1104959,0.555,2026-07-23,המשביר 365,מניה רגילה
1105022,60.51,2026-07-23,תיגבור קבוצה,מניה רגילה
1105055,1.698,2026-07-23,אבוג'ן,מניה רגילה
1105097,135.8,2026-07-23,נטו מלינדה,מניה רגילה
1105139,0.134,2026-07-23,באבלס,מניה רגילה
1105162,0.184,2026-07-23,ווינד באז-ס,מניה רגילה
1105196,3.364,2026-07-23,מישורים,מניה רגילה
1105535,0.0518,2026-07-23,קרדן אןוי אגח א,"אג""ח קונצרני"
1105907,6.73,2026-07-23,אייראנג'י טק,מניה רגילה
1106376,2.885,2026-07-23,אינטרקיור,מניה רגילה
1106749,12.53,2026-07-23,מצלאוי,מניה רגילה
1108638,0.02,2026-07-23,מירלנד-ש,מניה רגילה
1109495,0.0199,2026-07-23,פלאזה סנט אגח א,"אג""ח קונצרני"
1109503,0.0212,2026-07-23,פלאזה סנט אגח ב,"אג""ח קונצרני"
1109644,8.53,2026-07-23,סלע נדלן,מנית ריט
1109917,1.728,2026-07-23,פלאזה סנטר -ס,מניה רגילה
1109966,16.89,2026-07-23,ויתניה,מניה רגילה
1110915,1.5991,2026-07-23,אדמה אגח ב,"אג""ח קונצרני"
1113034,0.26,2026-07-23,קרדן אןוי אגח ב,"אג""ח קונצרני"
1118116,0.771,2026-07-23,גפן מגורים,מניה רגילה
1118447,5.102,2026-07-23,קרדן נדלן,מניה רגילה
1119478,420.1,2026-07-23,עזריאלי קבוצה,מניה רגילה
1119833,0.025,2026-07-23,גלוב יהש-ש,יחידת השתתפות
1119924,1.462,2026-07-23,הזדמנות יהש,יחידת השתתפות
1120161,2.19,2026-07-23,ערך פיננסים-ש,מניה רגילה
1120583,1.4035,2026-07-23,ממשל צמודה 0841,"אג""ח ממשלתי גליל"
1121474,10.65,2026-07-23,הכשרה התחדשות,מניה רגילה
1121730,5.787,2026-07-23,פלורי,מניה רגילה
1122654,0.542,2026-07-23,סטורג' דרופ,מניה רגילה
1123017,4.802,2026-07-23,לייבפרסון,מניה רגילה
1123355,24.12,2026-07-23,אנרג'יקס,מניה רגילה
1123777,45.62,2026-07-23,ויקטורי,מניה רגילה
1123850,32.27,2026-07-23,קרסו מוטורס,מניה רגילה
1125400,1.1796,2026-07-23,ממשל שקלית 0142,"אג""ח ממשלתי שחר"
1129444,13.96,2026-07-23,מנדלסוןתשת,מניה רגילה
1129493,19.24,2026-07-23,תומר אנרגיה,מניה רגילה
1129501,259.3,2026-07-23,איידיאיי ביטוח,מניה רגילה
1129543,3.713,2026-07-23,אופקו הלת',מניה רגילה
1131523,15.12,2026-07-23,מגדלי תיכון,מניה רגילה
1131556,2.102,2026-07-23,סקייליין,מניה רגילה
1131697,0.108,2026-07-23,אוטומקס,מניה רגילה
1132315,64.09,2026-07-23,אשטרום קבוצה,מניה רגילה
1132356,24.83,2026-07-23,אינרום,מניה רגילה
1133131,1.0101,2026-07-23,תעש אוירית אגחד,"אג""ח קונצרני"
1133149,1.2153,2026-07-23,אמות אגח ד,"אג""ח קונצרני"
1133487,1.2058,2026-07-23,ארפורט אגח ה,"אג""ח קונצרני"
1133875,46.47,2026-07-23,שפיר הנדסה,מניה רגילה
1134048,1.1919,2026-07-23,הראל הנפק אגח י,"אג""ח קונצרני"
1134139,212.8,2026-07-23,קנון,מניה רגילה
1134402,321.3,2026-07-23,אורמת טכנו,מניה רגילה
1134865,0.9777,2026-07-23,ממשל צמודה 0545,"אג""ח ממשלתי גליל"
1134881,6.892,2026-07-23,אלדן תחבורה,מניה רגילה
1135417,1.2152,2026-07-23,פניקס הון אגח ה,"אג""ח קונצרני"
1135706,38.21,2026-07-23,אורון קבוצה,מניה רגילה
1135888,1.2416,2026-07-23,שכון ובי אגח 8,"אג""ח קונצרני"
1136316,1.0152,2026-07-23,הראל הנפ אגח יא,"אג""ח קונצרני"
1136365,3.446,2026-07-23,ליניאג תרפיוטיק,מניה רגילה
1136464,1.0086,2026-07-23,קרסו מוט' אגח א,"אג""ח קונצרני"
1136753,1.2431,2026-07-23,ריט 1 אגח ה,"אג""ח קונצרני"
1136829,9.875,2026-07-23,אלמוגים,מניה רגילה
